id,��������,����,�����,������,�������,� �������
162432230,Роутер беспроводной TD-W8961N N300 10 100BASE-TX ADSL,3591.0,TP-Link,10,0,50
162517829,Роутер беспроводной TL-WR940N N450,3391.0,TP-Link,15,0,70
159422653,Роутер wi-fi беспроводной TL-WR940N N450,2634.0,TP-Link,40,0,70
159398005,Роутер wi-fi беспроводной TD-W8961N N300,2194.0,TP-Link,45,0,45
159400585,Роутер wi-fi беспроводной TL-WR840N N300 10 100BASE-TX,1795.0,TP-Link,55,0,37
89146152,Роутер двухдиапазонный беспроводной Archer C54,2843.0,TP-Link,16,5,39
89126262,Беспроводной маршрутизатор Archer C50(RU) AC1200 10 100BASE-…,3101.0,TP-Link,25,4,43
64894070,Усилитель TL-WA850RE N300,1863.0,TP-Link,25,5,16
89145607,Роутер беспроводной TL-WR844N N300 10 100BASE-TX,1507.0,TP-Link,20,5,23
89149211,Сетевой адаптер WiFi + Bluetooth Archer TX50E AX3000 PCI Exp…,4790.0,TP-Link,28,5,15
63103868,Wi-Fi роутер черный (TL-MR6400),8140.0,TP-Link,0,5,48
89146059,"Роутер беспроводной Archer C24 AC750 2,4 5 ГГц",2372.0,TP-Link,23,4,46
64733819,Маршрутизатор беспроводной TL-WR841N,1975.0,TP-Link,18,4,23
44614124,Неуправляемый коммутатор TL-SG108,2199.0,TP-Link,16,5,14
64736766,Адаптер USB TL-WN722N N150 ver 3.20,986.0,TP-Link,20,5,13
64734130,"Усилитель TL-WA860RE,частота 2.4 ГГц",2247.0,TP-Link,23,5,16
89145213,Роутер беспроводной TL-MR100 N300 10 100BASE-TX 4G(3G) cat.4,5215.0,TP-Link,18,4,32
110005365,Сетевой адаптер двухдиапазонный WiFi Archer T3U Plus AC1300…,2384.0,TP-Link,21,5,15
63103863,"Роутер, ADSL2+ белый (TD-W8961N)",2700.0,TP-Link,0,5,32
89140913,Повторитель беспроводного сигнала RE315 AC1200 10 100BASE-TX,3611.0,TP-Link,20,5,16
64893694,Адаптер USB TL-WN823N,916.0,TP-Link,18,5,6
110005456,Точка доступа CPE510 N300 10 100BASE-TX белый,4866.0,TP-Link,26,0,34
89138130,Маршрутизатор беспроводной Archer MR400 AC1200 10 100BASE-TX…,8745.0,TP-Link,21,3,48
64734332,"Коммутатор TL-SG105, 5 портов",1488.0,TP-Link,28,5,22
64736771,Адаптер USB TL-WN725N,780.0,TP-Link,20,5,7
89138476,Маршрутизатор Deco M5 (DECO M5(3-PACK),18670.0,TP-Link,24,0,77
89135898,Коммутатор TL-SG108E 8G управляемый,3461.0,TP-Link,18,5,25
64736768,Адаптер USB TL-WN822N,1323.0,TP-Link,18,5,13
89139313,Маршрутизатор беспроводной TL-MR6400 N300 10 100BASE-TX 4G,7205.0,TP-Link,20,5,46
89131753,Коммутатор LS1005G 5G неуправляемый,1271.0,TP-Link,18,5,9
89131925,Коммутатор LS105G 5G неуправляемый,1580.0,TP-Link,19,5,14
38285090,"Wi-Fi роутер Archer C80, черный",4891.0,TP-Link,0,5,81
78300508,Коммутатор неуправляемый 5-портовый гигабитный настольный ко…,1698.0,TP-Link,28,5,19
89134279,Коммутатор TL-SF1024D 24x100Mb неуправляемый,4858.0,TP-Link,30,5,80
89145266,Роутер беспроводной TL-MR150 N300 10 100BASE-TX 4G cat.4,6186.0,TP-Link,24,5,40
89132011,"Коммутатор TL-SF1005D, 5 портов, Ethernet 10 100 Мбит сек",1015.0,TP-Link,28,0,22
152998288,Маршрутизатор беспроводной M7200 N300 3G 4G черный,4447.0,TP-Link,22,0,8
89131836,Коммутатор LS1008 8x100Mb неуправляемый,1116.0,TP-Link,28,5,11
64904923,Беспроводной маршрутизатор TL-MR3020 N300 3G 4G,2193.0,TP-Link,18,5,12
89142578,Ресивер Bluetooth HA100 черный 1.0 BT,2304.0,TP-Link,18,5,8
64734336,"Коммутатор TL-SG1005D, 5 портов",1320.0,TP-Link,20,5,16
89144937,"Роутер беспроводной Archer AX73 AX5400, 2,4 5 ГГц",12637.0,TP-Link,18,5,21
89150950,Сетевой адаптер WiFi Archer T3U USB 3.0,2011.0,TP-Link,21,4,5
89135564,Коммутатор TL-SG1016D 16G неуправляемый,5145.0,TP-Link,26,5,80
89136714,Коммутатор TL-SG116,5121.0,TP-Link,18,5,50
89147455,Сетевой адаптер Ethernet UE200 USB 2.0,985.0,TP-Link,18,5,3
89146334,Сетевой адаптер Bluetooth UB400 USB 2.0,985.0,TP-Link,18,5,4
64734333,"Коммутатор TL-SF1016D, 16 портов",2973.0,TP-Link,26,5,47
89144796,Роутер беспроводной Archer AX55 AX3000 10 100 1000BASE-TX,8614.0,TP-Link,18,5,63
143298132,Камера видеонаблюдения Vigi C340 4mm(UN) Ver 1.0,5990.0,TP-Link,0,0,34
112550465,Двухдиапазонный Wi-Fi роутер,5230.0,TP-Link,0,5,76
64736767,Адаптер USB TL-WN821N,899.0,TP-Link,18,5,13
89135697,Коммутатор TL-SG105PE 5G 4PoE+ 65W управляемый,4526.0,TP-Link,27,0,31
64733820,Маршрутизатор беспроводной TL-WR940N,2490.0,TP-Link,25,4,55
89144441,Роутер беспроводной Archer AX10 AX1500 10 100 1000BASE-TX,5217.0,TP-Link,14,5,63
89135261,Коммутатор TL-SG1008D 8G неуправляемый,1896.0,TP-Link,20,0,33
64733821,Маршрутизатор беспроводной TL-WR842N,2577.0,TP-Link,18,5,52
73105410,USB-концентратор UH700,3898.0,TP-Link,0,0,23
110007714,Сетевой адаптер WiFi Archer T2U Plus USB 2.0,1515.0,TP-Link,22,4,12
146415880,Беспроводной маршрутизатор TL-WR820N N300 белый,1500.0,TP-Link,0,0,14
110004014,Сетевой адаптер WiFi Archer T4U Plus AC1300 USB 3.0,3097.0,TP-Link,21,4,12
